timestamp_ms,excursion_id,event,symbol,direction,residual_bps,threshold_bps,net_margin_bps,spread_bps,binance_move_bps,mexc_move_bps,binance_age_ms,mexc_age_ms,reject_reason,signal_to_order_latency_ms,live_pnl_usdt,move_bps,mfe_bps,mae_bps,exit_reason,hold_ms,filled_qty,effective_leverage,live_notional_usdt,demo_entry_fee_usdt,demo_exit_fee_usdt,demo_gross_pnl_usdt,demo_net_pnl_usdt,exit_residual_bps,decision_demo_net_bps,signal_detected_ms,demo_book_lookup_start_ms,demo_book_lookup_end_ms,ioc_call_start_ms,ioc_post_start_ms,ioc_post_response_ms,ioc_confirmed_ms,reconciliation_start_ms,provisional_started_ms,position_visible_ms,signal_to_ioc_post_ms,ioc_post_roundtrip_ms,ioc_confirmation_ms,reconciliation_ms,signal_to_provisional_ms,signal_to_position_visible_ms
1786796610477,ee00191be578445595655e0d6d968f75,crossing,LINK_USDT,1,2.135269319,1.267748652,0.867520667,1.067748652,2.135269319,0.000000000,1.000,240.000,,,,,,,,,,,,,,,,,,1786796610477.757,,,,,,,,,,,,,,,
1786796610480,ee00191be578445595655e0d6d968f75,demo_ioc_request,LINK_USDT,1,2.135269319,1.267748652,0.867520667,1.067748652,2.135269319,0.000000000,3.000,242.000,,2.310,,,,,,,,,,,,,,,,1786796610477.757,1786796610479.854,1786796610479.863,1786796610480.067,,,,,,,,,,,,
1786796611304,ee00191be578445595655e0d6d968f75,demo_ioc_response,LINK_USDT,1,2.135269319,1.267748652,0.867520667,1.067748652,2.135269319,0.000000000,3.000,242.000,,2.310,,,,,,,,,,,,,,,,1786796610477.757,1786796610479.854,1786796610479.863,1786796610480.067,1786796610486.339,1786796610870.343,1786796611304.003,,,,8.582,384.004,817.664,,,
1786796611630,ee00191be578445595655e0d6d968f75,demo_position_visible,LINK_USDT,1,2.135269319,1.267748652,0.867520667,1.067748652,2.135269319,0.000000000,3.000,242.000,,,,,,,,,10.6,200,,,,,,,,1786796610477.757,1786796610479.854,1786796610479.863,1786796610480.067,1786796610486.339,1786796610870.343,1786796611304.003,1786796611305.062,1786796611305.069,1786796611630.474,8.582,384.004,817.664,325.412,827.312,1152.717
1786796615539,ee00191be578445595655e0d6d968f75,demo_exit,LINK_USDT,1,2.135269319,1.267748652,0.867520667,1.067748652,2.135269319,0.000000000,3.000,242.000,,,-0.010600000,-1.067691651,0.000000000,-1.067691651,binance_impulse_reversed,3856.378,10.6,200,99.279600000,0.019855920,0.019844080,-0.010600000,-0.050300000,-1.067577667,-5.067478112,1786796610477.757,1786796610479.854,1786796610479.863,1786796610480.067,1786796610486.339,1786796610870.343,1786796611304.003,1786796611305.062,1786796611305.069,1786796611630.474,8.582,384.004,817.664,325.412,827.312,1152.717
