symbol,direction,entry_price,exit_price,entry_edge_bps,entry_spread_bps,pnl_bps,pnl_usdt,mfe_bps,mae_bps,duration_s,exit_reason,exit_trail_bps,execution_latency_ms
AKE_USDT,LONG,0.01039,0.010387,9.382876,1.925113,-2.887392,-2.88739172,3.849856,-2.887392,1.048074,positive_trailing_stop,0.500000,987.694
VELVET_USDT,LONG,1.1397,1.1382,9.283693,13.170025,-13.161358,-13.16135825,0.000000,-13.161358,0.066008,lead_lag_reversed,,987.712
AKE_USDT,SHORT,0.010406,0.010398,10.985334,0.960938,7.687872,7.68787238,10.570825,-0.960984,1.407555,positive_trailing_stop,9.070825,990.237
AKE_USDT,SHORT,0.010388,0.010392,8.385206,1.925113,-3.850597,-3.85059684,0.000000,-3.850597,0.062238,adverse_cut,,948.828
VELVET_USDT,SHORT,1.1356,1.1371,15.142334,9.681820,-13.208876,-13.20887636,0.000000,-13.208876,0.849455,adverse_cut,,973.094
AKE_USDT,LONG,0.010389,0.01038,18.819613,3.850968,-8.663009,-8.66300895,0.962557,-8.663009,2.723872,adverse_cut,,1388.302
AKE_USDT,SHORT,0.010508,0.010512,13.674445,3.805899,-3.806624,-3.80662352,0.000000,-3.806624,0.285988,binance_reversal,,940.280
AKE_USDT,SHORT,0.010506,0.010506,77.568311,8.562866,-0.000000,-0.00000000,0.000000,-8.566533,0.394536,binance_reversal,,985.997
AKE_USDT,SHORT,0.010495,0.010493,84.413383,2.858096,1.905669,1.90566937,1.905669,-2.858504,0.385958,binance_reversal,,986.530
AKE_USDT,SHORT,0.010481,0.01048,61.853098,1.908033,0.954107,0.95410743,0.954107,-1.908215,0.749557,lead_lag_reversed,,955.038
VELVET_USDT,LONG,1.1408,1.1404,5.603972,2.630079,-3.506311,-3.50631136,0.000000,-3.506311,0.067705,adverse_cut,,983.457
AKE_USDT,LONG,0.010484,0.010477,3.197708,5.724645,-6.676841,-6.67684090,0.000000,-6.676841,1.922375,lead_lag_reversed,,986.350
AKE_USDT,LONG,0.010477,0.010472,15.097593,5.728470,-4.772358,-4.77235850,0.000000,-5.726830,0.336387,lead_lag_reversed,,946.601
AKE_USDT,SHORT,0.010496,0.010505,23.821008,5.714830,-8.574695,-8.57469512,0.000000,-8.574695,0.852543,adverse_cut,,960.527
AKE_USDT,SHORT,0.010489,0.010493,2.821430,3.812792,-3.813519,-3.81351892,0.000000,-3.813519,0.061303,lead_lag_reversed,,975.380
AKE_USDT,SHORT,0.010464,0.010462,19.623352,0.955612,1.911315,1.91131498,1.911315,-0.955657,0.420691,lead_lag_reversed,,959.393
VELVET_USDT,LONG,1.1337,1.133,20.992693,6.176380,-6.174473,-6.17447296,0.000000,-6.174473,0.231964,binance_reversal,,981.710
AKE_USDT,LONG,0.010453,0.010471,8.799161,0.956709,17.219937,17.21993686,21.046589,-0.956663,2.543941,positive_trailing_stop,19.546589,979.771
VELVET_USDT,SHORT,1.1326,1.134,7.674072,6.178560,-12.360939,-12.36093943,0.000000,-12.360939,0.820776,adverse_cut,,941.480
AKE_USDT,SHORT,0.010459,0.010463,11.236159,3.823726,-3.824457,-3.82445741,0.000000,-3.824457,0.752549,binance_reversal,,945.966
AKE_USDT,SHORT,0.010461,0.010468,8.740968,4.778516,-6.691521,-6.69152089,0.000000,-6.691521,0.714253,adverse_cut,,973.944
AKE_USDT,LONG,0.010443,0.010436,26.131674,6.705302,-6.703055,-6.70305468,0.000000,-6.703055,0.122797,binance_reversal,,965.965
VELVET_USDT,SHORT,1.1338,1.1352,13.000767,6.172023,-12.347857,-12.34785676,0.000000,-12.347857,0.180213,adverse_cut,,949.912
AKE_USDT,LONG,0.010456,0.010449,9.894954,2.869578,-6.694721,-6.69472073,0.000000,-6.694721,0.397682,adverse_cut,,952.926
VELVET_USDT,LONG,1.1331,1.1314,12.667238,9.712595,-15.003089,-15.00308887,0.000000,-15.003089,2.432379,adverse_cut,,955.378
AKE_USDT,LONG,0.010475,0.010468,22.023982,2.864372,-6.682578,-6.68257757,2.863962,-6.682578,3.919765,adverse_cut,,949.097
VELVET_USDT,SHORT,1.1352,1.1366,11.937191,7.044734,-12.332629,-12.33262861,0.000000,-12.332629,0.248488,adverse_cut,,950.594
VELVET_USDT,SHORT,1.133,1.1343,13.033160,14.993165,-11.473963,-11.47396293,0.000000,-16.769638,1.431616,session_end,,956.961
