symbol,direction,signal_ms,entry_ms,exit_ms,entry_price,exit_price,impulse_bps,entry_spread_bps,pnl_bps,pnl_usdt,mfe_bps,mae_bps,hold_ms,signal_to_fill_ms,exit_decision_to_fill_ms,exit_reason
LINK_USDT,SHORT,1786810478945,1786810478959,1786810479232,9.509,9.506,-2.1033811930093047,1.0515799989478374,3.1549058786414066,3.1549058786414066,3.1549058786414066,-1.0516352928798463,273,14,42,binance_target_caught
LINK_USDT,LONG,1786810482054,1786810482059,1786810482518,9.504,9.506,2.6302638306258816,1.052243910137787,2.1043771043778072,2.1043771043778072,2.1043771043778072,-1.052188552187969,459,5,0,binance_target_caught
LINK_USDT,LONG,1786810506329,1786810506337,1786810530558,9.505,9.503,2.1040450343242276,1.052133200064414,-2.1041557075230592,-2.1041557075230592,1.052077853760595,-2.1041557075230592,24221,8,27,live_adverse_cut
LINK_USDT,LONG,1786810534921,1786810534930,1786810537398,9.501,9.503,2.104930808175269,1.0525761802004587,2.1050415745718007,2.1050415745718007,2.1050415745718007,-1.0525207872849656,2468,9,2,binance_target_caught
LINK_USDT,SHORT,1786810569862,1786810569870,1786810569958,9.496,9.494,-2.1062608681953785,1.053019533511763,2.106149957877704,2.106149957877704,2.106149957877704,-1.0530749789379168,88,8,6,binance_target_caught
LINK_USDT,LONG,1786810571209,1786810571214,1786810598561,9.496,9.498,2.106039074807511,1.0531304302050677,2.1061499578758336,2.1061499578758336,2.1061499578758336,-1.0530749789397873,27347,5,13,binance_target_caught
LINK_USDT,SHORT,1786810600483,1786810600488,1786810601201,9.495,9.493,-2.106482708298559,1.0531304302050677,2.106371774617053,2.106371774617053,2.106371774617053,-1.0531858873103974,713,5,7,binance_target_caught
LINK_USDT,SHORT,1786810630215,1786810630222,1786810633272,9.495,9.493,-2.106482708298559,1.0531304302050677,2.106371774617053,2.106371774617053,2.106371774617053,-1.0531858873103974,3050,7,55,binance_target_caught
LINK_USDT,SHORT,1786810660660,1786810660669,1786810662021,9.489,9.487,-2.107814730888238,1.053796301174399,2.107703656866548,2.107703656866548,2.107703656866548,-1.0538518284323382,1352,9,26,binance_target_caught
LINK_USDT,LONG,1786810665427,1786810665431,1786810684734,9.487,9.489,2.108036898452774,1.0541295525214207,2.1081479919897417,2.1081479919897417,2.1081479919897417,-1.0540739959939347,19303,4,9,binance_target_caught
