timestamp_ms,excursion_id,event,symbol,direction,residual_bps,threshold_bps,net_margin_bps,spread_bps,binance_move_bps,mexc_move_bps,binance_age_ms,mexc_age_ms,reject_reason,signal_to_order_latency_ms,live_pnl_usdt,move_bps,mfe_bps,mae_bps,exit_reason,hold_ms,filled_qty,effective_leverage,live_notional_usdt,demo_entry_fee_usdt,demo_exit_fee_usdt,demo_gross_pnl_usdt,demo_net_pnl_usdt,exit_residual_bps,decision_demo_net_bps
1786777862054,678fa32b93954f0a8b9f94f6ed0dbfd6,crossing,XAUT_USDT,1,1.009569110,1.000000000,0.009569110,0.229434101,1.009569110,0.000000000,42.000,109.000,,,,,,,,,,,,,,,,,
1786777862058,678fa32b93954f0a8b9f94f6ed0dbfd6,demo_ioc_request,XAUT_USDT,1,1.009569110,1.000000000,0.009569110,0.229434101,0.826003509,0.000000000,47.000,114.000,,4.000,,,,,,,,,,,,,,,
1786777862964,678fa32b93954f0a8b9f94f6ed0dbfd6,demo_ioc_response,XAUT_USDT,1,1.009569110,1.000000000,0.009569110,0.229434101,0.826003509,0.000000000,47.000,114.000,,4.000,,,,,,,,,,,,,,,
1786777943993,678fa32b93954f0a8b9f94f6ed0dbfd6,demo_exit,XAUT_USDT,1,1.009569110,1.000000000,0.009569110,0.229434101,0.826003509,0.000000000,47.000,114.000,,,1.605800000,1.606020282,1.606020282,-0.229431469,microspread_converged,74782.758,2.294,1000,9998.628400000,0.000000000,0.000000000,2.064600000,2.064600000,0.000000000,1.606020282
1786778970905,d040ca264dac414fb068b4bedf38e66e,crossing,XAUT_USDT,-1,-1.077613385,1.000000000,0.077613385,0.229313093,-0.756634308,0.000000000,0.000,54.000,,,,,,,,,,,,,,,,,
1786778970908,d040ca264dac414fb068b4bedf38e66e,demo_ioc_request,XAUT_USDT,-1,-1.077613385,1.000000000,0.077613385,0.229313093,-0.756634308,0.000000000,3.000,57.000,,3.000,,,,,,,,,,,,,,,
1786778971821,d040ca264dac414fb068b4bedf38e66e,demo_ioc_response,XAUT_USDT,-1,-1.077613385,1.000000000,0.077613385,0.229313093,-0.756634308,0.000000000,3.000,57.000,,3.000,,,,,,,,,,,,,,,
1786778973979,d040ca264dac414fb068b4bedf38e66e,demo_exit,XAUT_USDT,-1,-1.077613385,1.000000000,0.077613385,0.229313093,-0.756634308,0.000000000,3.000,57.000,,,-1.146500000,-1.146578609,0.000000000,-1.146578609,demo_adverse_cut,1914.124,2.293,1000,9999.314400000,0.000000000,0.000000000,-1.605100000,-1.605100000,-1.719699398,-1.146578609
1786779610603,66a8188b20d74bceae36e725b2897ecf,crossing,XAUT_USDT,1,1.272829956,1.000000000,0.272829956,0.229344648,1.272829956,0.000000000,0.000,42.000,,,,,,,,,,,,,,,,,
1786779610608,66a8188b20d74bceae36e725b2897ecf,demo_ioc_request,XAUT_USDT,1,1.272829956,1.000000000,0.272829956,0.229344648,1.272829956,0.000000000,8.000,50.000,,5.000,,,,,,,,,,,,,,,
1786779611523,66a8188b20d74bceae36e725b2897ecf,demo_ioc_response,XAUT_USDT,1,1.272829956,1.000000000,0.272829956,0.229344648,1.272829956,0.000000000,8.000,50.000,,5.000,,,,,,,,,,,,,,,
1786780005188,66a8188b20d74bceae36e725b2897ecf,demo_exit,XAUT_USDT,1,1.272829956,1.000000000,0.272829956,0.229344648,1.272829956,0.000000000,8.000,50.000,,,0.917200000,0.917368071,0.917368071,-0.229342018,microspread_reversed,393479.930,2.293,1000,9998.167900000,0.000000000,0.000000000,0.917200000,0.917200000,-1.123729761,0.917368071
1786780462147,936caa2720954d369c5570a0363b5a0e,crossing,XAUT_USDT,-1,-1.065953281,1.000000000,0.065953281,0.229260520,-1.065953281,0.000000000,0.000,82.000,,,,,,,,,,,,,,,,,
1786780462148,936caa2720954d369c5570a0363b5a0e,demo_ioc_request,XAUT_USDT,-1,-1.065953281,1.000000000,0.065953281,0.229260520,-1.065953281,0.000000000,2.000,84.000,,1.000,,,,,,,,,,,,,,,
1786780463109,936caa2720954d369c5570a0363b5a0e,demo_ioc_response,XAUT_USDT,-1,-1.065953281,1.000000000,0.065953281,0.229260520,-1.065953281,0.000000000,2.000,84.000,,1.000,,,,,,,,,,,,,,,
1786780468249,936caa2720954d369c5570a0363b5a0e,demo_exit,XAUT_USDT,-1,-1.065953281,1.000000000,0.065953281,0.229260520,-1.065953281,0.000000000,2.000,84.000,,,0.916800000,0.917052593,0.917052593,0.000000000,microspread_converged,4905.580,2.292,1000,9997.245600000,0.000000000,0.000000000,0.916800000,0.916800000,0.000000000,0.917052593
