timestamp_ms,excursion_id,event,symbol,direction,residual_bps,threshold_bps,net_margin_bps,spread_bps,binance_move_bps,mexc_move_bps,binance_age_ms,mexc_age_ms,reject_reason,signal_to_order_latency_ms,live_pnl_usdt,move_bps,mfe_bps,mae_bps,exit_reason,hold_ms,filled_qty,effective_leverage,live_notional_usdt,demo_entry_fee_usdt,demo_exit_fee_usdt,demo_gross_pnl_usdt,demo_net_pnl_usdt,exit_residual_bps,decision_demo_net_bps,signal_detected_ms,demo_book_lookup_start_ms,demo_book_lookup_end_ms,ioc_call_start_ms,ioc_post_start_ms,ioc_post_response_ms,ioc_confirmed_ms,reconciliation_start_ms,position_visible_ms,signal_to_ioc_post_ms,ioc_post_roundtrip_ms,ioc_confirmation_ms,reconciliation_ms,signal_to_position_visible_ms
1786793946251,a212cf614dcc4859b13cad840396a5d5,crossing,XAUT_USDT,-1,-1.284888452,1.000000000,0.284888452,0.229423573,-1.284888452,0.000000000,0.000,31.000,,,,,,,,,,,,,,,,,,1786793946251.962,,,,,,,,,,,,,
1786793946253,a212cf614dcc4859b13cad840396a5d5,demo_ioc_request,XAUT_USDT,-1,-1.284888452,1.000000000,0.284888452,0.229423573,-1.284888452,0.000000000,2.000,33.000,,1.951,,,,,,,,,,,,,,,,1786793946251.962,1786793946252.943,1786793946252.949,1786793946253.913,,,,,,,,,,
1786793947226,a212cf614dcc4859b13cad840396a5d5,demo_ioc_response,XAUT_USDT,-1,-1.284888452,1.000000000,0.284888452,0.229423573,-1.284888452,0.000000000,2.000,33.000,,1.951,,,,,,,,,,,,,,,,1786793946251.962,1786793946252.943,1786793946252.949,1786793946253.913,1786793946265.452,1786793946615.733,1786793946904.418,,,13.491,350.281,638.966,,
1786793947557,a212cf614dcc4859b13cad840396a5d5,demo_position_visible,XAUT_USDT,-1,-1.284888452,1.000000000,0.284888452,0.229423573,-1.284888452,0.000000000,2.000,33.000,,,,,,,,,2.294,1000,,,,,,,,1786793946251.962,1786793946252.943,1786793946252.949,1786793946253.913,1786793946265.452,1786793946615.733,1786793946904.418,1786793947227.676,1786793947557.413,13.491,350.281,638.966,329.737,1305.451
