symbol,binance_symbol,events,long_events,short_events,avg_edge_bps,max_edge_bps,max_binance_move_bps,max_mexc_move_bps,min_age_ms,live_spread_bps,live_bid,live_ask
VELVET_USDT,VELVETUSDT,19,6,13,8.670208,34.957389,13.265900,3.320604,11.0,4.998334,1.2001,1.2007
AKE_USDT,AKEUSDT,18,7,11,6.924756,13.665112,9.142489,3.230496,16.0,1.076948,0.009285,0.009286
BEAT_USDT,BEATUSDT,7,4,3,15.901050,33.382320,31.994005,18.814681,10.0,18.779343,0.532,0.533
XLM_USDT,XLMUSDT,6,5,1,2.227343,5.022785,1.894657,0.631692,25.0,0.631493,0.15835,0.15836
SKYAI_USDT,SKYAIUSDT,6,3,3,1.977947,2.861249,2.950941,0.000000,17.0,4.423148,0.06781,0.06784
BTW_USDT,BTWUSDT,5,3,2,3.020892,5.563306,4.878842,1.626148,76.0,1.951981,0.30735,0.30741
EDEN_USDT,EDENUSDT,4,1,3,15.199325,22.211477,8.819639,1.958672,182.0,7.841600,0.05099,0.05103
CRV_USDT,CRVUSDT,3,1,2,5.949047,8.742446,12.541808,8.354219,25.0,4.176237,0.2394,0.2395
ESPORTS_USDT,ESPORTSUSDT,3,2,1,2.810233,5.110402,6.414368,0.000000,31.0,6.420546,0.01557,0.01558
FOLKS_USDT,FOLKSUSDT,2,0,2,6.117036,9.531249,2.413419,0.000000,55.0,4.827420,2.071,2.072
HYPE_USDT,HYPEUSDT,2,2,0,1.018670,1.073707,1.243118,0.177609,96.0,0.177495,56.339,56.34
INJ_USDT,INJUSDT,1,0,1,11.653296,11.653296,9.568234,2.390343,34.0,,,
BANK_USDT,BANKUSDT,1,1,0,11.488462,11.488462,16.311000,2.719978,39.0,,,
ENA_USDT,ENAUSDT,1,1,0,3.951649,3.951649,1.180777,0.000000,334.0,,,
APT_USDT,APTUSDT,1,0,1,2.788771,2.788771,1.848429,1.848258,178.0,,,
MYX_USDT,MYXUSDT,1,1,0,2.467504,2.467504,0.676567,0.000000,296.0,,,
XRP_USDT,XRPUSDT,1,1,0,2.430651,2.430651,0.997108,0.000000,11.0,,,
XAI_USDT,XAIUSDT,1,0,1,2.292552,2.292552,8.396627,6.104075,230.0,,,
EVAA_USDT,EVAAUSDT,1,0,1,2.281798,2.281798,0.638876,0.000000,421.0,,,
