timestamp_ms,excursion_id,event,symbol,direction,residual_bps,threshold_bps,net_margin_bps,spread_bps,binance_move_bps,mexc_move_bps,binance_age_ms,mexc_age_ms,reject_reason,signal_to_order_latency_ms,live_pnl_usdt,move_bps,mfe_bps,mae_bps,exit_reason,hold_ms,filled_qty,effective_leverage,live_notional_usdt,demo_entry_fee_usdt,demo_exit_fee_usdt,demo_gross_pnl_usdt,demo_net_pnl_usdt,exit_residual_bps,decision_demo_net_bps
1786781313577,4debb094a3554593a2a7b5ee9d64c874,crossing,XAUT_USDT,-1,-0.527304032,0.500000000,0.027304032,0.229302576,-0.527304032,0.000000000,0.000,136.000,,,,,,,,,,,,,,,,,
1786781313579,4debb094a3554593a2a7b5ee9d64c874,demo_ioc_request,XAUT_USDT,-1,-0.527304032,0.500000000,0.027304032,0.229302576,-0.527304032,0.000000000,2.000,138.000,,2.000,,,,,,,,,,,,,,,
1786781314481,4debb094a3554593a2a7b5ee9d64c874,demo_ioc_response,XAUT_USDT,-1,-0.527304032,0.500000000,0.027304032,0.229302576,-0.527304032,0.000000000,2.000,138.000,,2.000,,,,,,,,,,,,,,,
1786781891563,4debb094a3554593a2a7b5ee9d64c874,demo_exit,XAUT_USDT,-1,-0.527304032,0.500000000,0.027304032,0.229302576,-0.527304032,0.000000000,2.000,138.000,,,1.605100000,1.605136437,1.605136437,-0.229305205,microspread_reversed,576839.166,2.293,1000,9999.773000000,0.000000000,0.000000000,1.834400000,1.834400000,1.421854400,1.605136437
1786782187161,b01f78f846c24a8381487745dace4296,crossing,XAUT_USDT,1,1.169445822,0.500000000,0.669445822,0.229339388,1.169445822,0.000000000,0.000,15.000,,,,,,,,,,,,,,,,,
1786782187162,b01f78f846c24a8381487745dace4296,demo_ioc_request,XAUT_USDT,1,1.169445822,0.500000000,0.669445822,0.229339388,1.169445822,0.000000000,2.000,17.000,,1.000,,,,,,,,,,,,,,,
1786782188097,b01f78f846c24a8381487745dace4296,demo_ioc_response,XAUT_USDT,1,1.169445822,0.500000000,0.669445822,0.229339388,1.169445822,0.000000000,2.000,17.000,,1.000,,,,,,,,,,,,,,,
1786788777527,b01f78f846c24a8381487745dace4296,demo_exit,XAUT_USDT,1,1.169445822,0.500000000,0.669445822,0.229339388,1.169445822,0.000000000,2.000,17.000,,,-3.668800000,-3.669388130,0.229336758,-3.669388130,demo_adverse_cut,6589240.674,2.293,1000,9998.397200000,0.000000000,0.000000000,-3.898100000,-3.898100000,0.000000000,-3.898635478
