symbol,direction,signal_ms,entry_ms,exit_ms,entry_price,exit_price,impulse_bps,entry_spread_bps,pnl_bps,pnl_usdt,mfe_bps,mae_bps,hold_ms,signal_to_fill_ms,exit_decision_to_fill_ms,exit_reason
LINK_USDT,LONG,1786831099376,1786831099549,1786831101494,9.572,9.573,1.5670296984193635,1.0447683226238789,1.0447137484342062,1.0447137484342062,1.0447137484342062,-1.0447137484323505,1945,173,339,binance_target_caught
DOGE_USDT,SHORT,1786831106975,1786831107169,1786831170868,0.06993,0.06994,-2.8589807928265474,1.4298991921064022,-1.4300014300008754,-1.4300014300008754,0.0,-1.4300014300008754,63699,194,637,timeout
LINK_USDT,LONG,1786831237578,1786831237741,1786831247289,9.571,9.573,2.089536652851469,1.0448774881139395,2.0896458050367444,2.0896458050367444,2.0896458050367444,-1.044822902517444,9548,163,331,binance_target_caught
XRP_USDT,LONG,1786831276085,1786831276252,1786831281492,1.0038,1.004,1.9925280265170797,0.9962640099625302,1.992428770671229,1.992428770671229,1.992428770671229,-0.9962143853356145,5240,167,385,binance_target_caught
DOGE_USDT,SHORT,1786831367258,1786831367422,1786831371749,0.06996,0.06993,-4.2887777640947355,1.4292860716086617,4.288164665521494,4.288164665521494,5.717552887363976,-1.4293882218424816,4327,164,401,binance_target_caught
DOGE_USDT,LONG,1786831374155,1786831374344,1786831405584,0.06995,0.06996,2.8597984037046564,1.4296947601681496,1.4295925661181021,1.4295925661181021,1.4295925661181021,-1.4295925661181021,31240,189,868,binance_target_caught
LINK_USDT,LONG,1786831466812,1786831466958,1786831469814,9.572,9.574,2.089318367483197,1.0447683226238789,2.089427496866557,2.089427496866557,2.089427496866557,-1.0447137484323505,2856,146,333,binance_target_caught
LINK_USDT,SHORT,1786831486324,1786831486506,1786831520390,9.573,9.568,-1.5666205415990515,1.0445500600610496,5.223023085762855,5.223023085762855,6.267627702914684,-3.133813851457342,33884,182,353,binance_target_caught
XRP_USDT,LONG,1786831526844,1786831527020,1786831539485,1.0039,1.0036,1.9925280265170797,0.9961647656521293,-2.988345452734007,-2.988345452734007,0.0,-2.988345452734007,12465,176,345,live_adverse_cut
LINK_USDT,LONG,1786831727655,1786831727830,1786831735440,9.561,9.562,2.091722017770653,1.0459703990371274,1.0459156991940652,1.0459156991940652,2.0918313983899885,-1.0459156991940652,7610,175,182,binance_target_caught
LINK_USDT,SHORT,1786831925546,1786831925646,1786831932279,9.559,9.559,-4.185194934227419,1.046079815891231,-0.0,-0.0,3.1384035987029124,-1.0461345329022096,6633,100,62,positive_trailing_stop
LINK_USDT,LONG,1786831939483,1786831939569,1786831954805,9.56,9.564,2.091940805703609,1.046079815891231,4.184100418409581,4.184100418409581,4.184100418409581,-1.0460251046037887,15236,86,63,binance_target_caught
LINK_USDT,LONG,1786831994101,1786831994210,1786832003927,9.562,9.569,2.091503275600052,1.0458610050718464,7.3206442166925845,7.3206442166925845,8.366450533362158,-1.045806316669573,9717,109,2010,binance_target_caught
LINK_USDT,SHORT,1786832057400,1786832057585,1786832087187,9.565,9.564,-2.0906287642115986,1.0454236579386567,1.0454783063245643,1.0454783063245643,1.0454783063245643,-1.0454783063264215,29602,185,336,binance_target_caught
LINK_USDT,SHORT,1786832120707,1786832120884,1786832131378,9.564,9.559,-2.0912845791684602,1.0455329604259982,5.227938101213699,5.227938101213699,5.227938101213699,-1.0455876202419967,10494,177,349,binance_target_caught
LINK_USDT,LONG,1786832188446,1786832188596,1786832191410,9.556,9.552,2.616636590273051,1.0465177123117009,-4.185851820845081,-4.185851820845081,0.0,-6.278777731266692,2814,150,219,live_adverse_cut
LINK_USDT,SHORT,1786832290410,1786832290503,1786832299855,9.551,9.55,-3.140703543405121,2.0938023450593257,1.0470107842104972,1.0470107842104972,1.0470107842104972,-2.0940215684228543,9352,93,65,binance_target_caught
XRP_USDT,LONG,1786832318774,1786832318844,1786832381492,1.0038,1.0038,1.9925280265170797,0.9962640099625302,0.0,0.0,0.0,-0.9962143853356145,62648,70,607,timeout
LINK_USDT,LONG,1786832422787,1786832422958,1786832434671,9.552,9.548,2.094131204972371,3.141196795979387,-4.187604690116792,-4.187604690116792,0.0,-4.187604690116792,11713,171,2234,live_adverse_cut
LINK_USDT,LONG,1786832520455,1786832520564,1786832523168,9.552,9.554,2.093692758236732,1.04695597550065,2.0938023450593257,2.0938023450593257,2.0938023450593257,-1.0469011725287332,2604,109,365,binance_target_caught
LINK_USDT,SHORT,1786832612226,1786832612394,1786832662803,9.556,9.569,-2.0928164153214883,1.046408203841597,-13.604018417749767,-13.604018417749767,0.0,-13.604018417749767,50409,168,1159,live_adverse_cut
LINK_USDT,SHORT,1786832689209,1786832689273,1786832696404,9.571,9.568,-2.0897549838330223,1.0447683226238789,3.134468707554188,3.134468707554188,3.134468707554188,-1.044822902517444,7131,64,62,binance_target_caught
